,ID,geometry
319,319,POINT (962713.2202783884 6835479.203583412)
320,320,POINT (1028999.7469051329 7046149.212837727)
321,321,POINT (863441.8379736709 6195330.62146748)
322,322,POINT (1314941.3361677104 6173867.5250343)
323,323,POINT (1228021.29664447 6950618.0520203)
324,324,POINT (1027183.1241348772 6308996.608182925)
325,325,POINT (1093435.6983169296 6797431.791543091)
326,326,POINT (928747.9738449989 6739347.798041205)
327,327,POINT (1308159.7527885842 6764644.615314116)
328,328,POINT (1091976.5224316115 6583861.978131927)
329,329,POINT (947438.6276686804 6738825.756088081)
330,330,POINT (975356.7767231978 6776523.30372428)
331,331,POINT (807807.6960599166 7159118.912010687)
332,332,POINT (876635.4240224898 6027536.355923515)
333,333,POINT (1040159.3032181767 7474294.8663943615)
334,334,POINT (976741.1459107029 6766547.861665579)
335,335,POINT (1107603.8865076436 6760896.321830966)
336,336,POINT (1068770.638741864 6030297.861735745)
337,337,POINT (1346041.998144517 7193486.282451761)
338,338,POINT (1125929.857679486 6133564.5962474)
339,339,POINT (1185708.424235474 6443505.383812664)
340,340,POINT (857742.2800450554 6670481.565355553)
341,341,POINT (1491229.5534557176 6597837.531800238)
342,342,POINT (935565.736058633 6428716.349145019)
343,343,POINT (1048068.6643585297 6082136.748360994)
344,344,POINT (1142858.7692418732 6588981.471654879)
345,345,POINT (878482.4370137318 6637714.247324797)
346,346,POINT (759873.523324333 6923666.509286502)
347,347,POINT (815342.3557942592 7033248.386714574)
348,348,POINT (858738.8121266367 6581293.303193226)
349,349,POINT (717558.7584839938 6364753.128525832)
350,350,POINT (908139.1738754583 6770882.8294762485)
351,351,POINT (1309030.0485676061 6755093.175365427)
352,352,POINT (808942.0416711 6711602.391002813)
353,353,POINT (856870.5371126531 6325438.56992905)
354,354,POINT (756202.0951984801 6673786.658258771)
355,355,POINT (927765.4680192573 6947618.688295032)
356,356,POINT (1341993.9761813104 6694451.841630188)
357,357,POINT (767558.9096492098 6765999.941666208)
358,358,POINT (1043045.3723364832 7199302.412554647)
359,359,POINT (1429743.3459109608 6870755.353373275)
360,360,POINT (939035.5645866591 6372599.531710874)
361,361,POINT (1510045.2190675596 6624037.720863647)
362,362,POINT (1494144.0090441762 6585484.406318063)
363,363,POINT (790023.2942107832 6742542.692750699)
364,364,POINT (1490011.3842679667 7188605.327761104)
365,365,POINT (1448970.7823192473 6867948.861852967)
366,366,POINT (705235.6908531784 6706353.504539252)
367,367,POINT (1266796.2129970735 7088988.89134272)
368,368,POINT (1490000.9202358322 6559414.069317887)
369,369,POINT (898979.806172988 6737509.583877387)
370,370,POINT (1016397.7126303895 6909464.804050098)
371,371,POINT (1322097.0643553927 6797088.3687596265)
372,372,POINT (987234.56639084 6068711.083775472)
373,373,POINT (1735960.6672266254 6880837.172765289)
374,374,POINT (1074328.2643197183 6528652.593127279)
375,375,POINT (1019218.9938050541 6444232.539612888)
376,376,POINT (1364878.1465426649 6745202.023628058)
377,377,POINT (805969.3659889564 6864829.477141101)
378,378,POINT (1311985.9150066397 6791266.8581148945)
379,379,POINT (826390.5926165101 7026361.4865901815)
380,380,POINT (1186317.2305306226 6204042.927296282)
381,381,POINT (837991.9759885127 6104875.32718082)
382,382,POINT (850530.2241950316 6742342.335471968)
383,383,POINT (711628.6578899453 6583977.666590278)
